자나,60,152
카마,78,150
파아,86,145
가사,74,174
나라,77,165
타타,63,168
파자,70,181
바하,86,168
하타,80,191
자마,40,175
자차,73,153
아사,96,175
나바,44,154
다사,82,183
가차,73,165
다하,69,183
파사,96,185
마바,74,149
라자,71,156
타아,83,196
마나,46,183
타바,50,168
사하,95,141
다차,45,159
가사,64,161
라아,40,149
파바,85,150
하마,53,182
카바,74,152
카마,89,151
하아,73,189
바하,70,192
파차,94,142
자자,85,198
나가,60,185
타아,89,187
아타,77,192
라사,94,181
차마,87,195
라카,45,193
사자,98,173
파라,74,163
가파,68,165
나나,99,141
나가,66,190
하아,59,197
라차,56,177
아차,74,172
나마,92,174
가라,64,147
다가,94,155
다가,79,188
나라,67,156
나바,67,174
차다,90,142
다파,51,158
라하,50,145
마마,99,194
파다,97,167
파바,65,150
차마,84,171
카자,76,188
마가,89,179
카바,65,153
라자,73,157
마카,93,146
사파,98,169
카아,59,142
하자,94,149
바파,91,167
마차,67,175
아다,64,140
차마,50,199
다가,57,197
파타,63,162
차가,56,170
차타,42,166
나가,46,158
자카,84,165
마타,72,140
라다,89,177
타다,93,185
카나,88,198
가파,53,147
사마,56,165
아다,98,141
마카,76,197
가타,75,188
나나,73,154
마타,69,158
파마,69,193
나차,43,197
나카,63,151
하다,41,191
나하,47,148
바하,83,194
차마,97,185
바나,42,188
파사,50,199
나나,91,193
아하,69,146
다자,51,155
하다,96,164
자차,72,184
파나,98,152
다파,90,193
사마,86,187
가마,82,196
아나,90,156
마자,50,174
라다,64,191
라가,56,182
타마,58,153
차마,41,187
자아,42,156
카아,55,169
다라,93,159
라파,99,156
자차,52,187
바파,89,167
나가,57,196
나카,59,189
자카,77,174
자가,70,176
라나,72,170
하마,92,199
하타,41,185
파자,78,189
카가,96,151
사파,76,143
카타,41,141
파차,59,154
가마,88,163
라나,89,191
타파,68,199
마차,48,144
카아,42,198
라하,78,146
카다,64,170
하자,41,148
아사,71,166
자마,97,154
타라,47,159
바바,96,158
파마,57,173
가나,96,199
하타,43,144
카사,40,175
다파,47,196
바카,61,185
다자,83,178
사자,58,161
다나,94,158
사나,54,159
카라,99,153
나자,89,160
바하,78,169
카다,50,146
타다,42,198
아마,49,191
카카,73,142
바다,72,199
자나,41,177
하나,43,144
마아,71,167
아가,89,151
사아,92,170
아아,60,156
바바,90,164
타마,91,176
바마,43,145
사다,89,195
아카,40,158
다라,69,157
파타,55,140
가하,63,143
다다,92,192
나타,62,193
라라,56,165
아차,40,156
하라,97,183
마하,42,150
하차,73,196
파하,96,167
마바,47,197
사차,70,155
라바,76,140
라마,68,162
파나,68,174
마라,69,171
다자,68,160
아타,99,158
타파,98,148
파사,97,177
사라,41,172
아마,85,197
라타,69,150
다가,72,170
타하,89,159
타다,55,144
가하,57,193
사마,69,156
카사,80,143
아라,80,153
아타,85,166
차나,44,142
아파,58,166
파아,58,142
가마,56,162
아다,90,170
파가,69,173
카마,62,145
바아,75,168
파라,64,188
가아,41,179
바다,97,151
나파,52,154
차자,80,166
자사,87,169
나차,63,161
다나,62,172
마카,62,180
차아,48,147
바아,70,161
사라,87,154
나자,59,154
파차,82,168
하타,61,145
하타,41,183
마나,47,172
마다,61,143
마하,46,171
바바,54,168
아아,49,172
타마,56,172
다하,58,174
카마,54,190
파자,85,170
파다,57,184
자타,50,168
사바,79,175
나자,80,155
하마,59,170
다마,60,141
바다,62,199
바자,55,195
다사,74,159
라마,41,166
가다,71,199
바아,57,154
자나,56,178
파라,58,183
자타,77,186
마나,71,175
다차,77,197
타자,82,176
나마,50,172
아가,48,185
자타,61,162
하다,65,185
파마,60,177
하라,58,174
하파,41,165
차자,81,192
라타,42,172
라차,59,189
마가,85,143
하다,77,185
다다,57,173
나마,49,172
파가,92,191
파라,64,195
사바,54,172
다마,68,185
바마,81,199
가카,66,198
타하,91,145
마바,59,158
사나,55,160
바차,95,150
차가,54,141
차라,83,168
바가,55,155
자아,85,163
자자,55,157
아자,99,186
파바,80,148
다자,61,163
다하,98,155
라차,72,166
하바,94,196
자파,78,159
차마,99,173
나가,72,147
타파,45,153
마가,85,177
나라,94,161
마다,73,182
파파,54,173
차나,79,148
타바,84,145
파마,96,177
다아,95,192
카하,53,160
파차,56,199
마마,51,198
아나,45,144
카나,83,158
가라,44,178
다나,57,177
가아,60,140
아라,70,199
카사,54,150
파타,41,179
차아,59,165
마사,63,167
카하,64,177
하나,64,176
마사,60,193
바파,79,146
라카,74,174
하나,53,198
마라,90,162
자차,41,196
카파,84,147
하나,47,168
라아,71,169
다마,56,162
파차,65,148
아자,65,147
라타,57,147
차자,89,146
다카,85,166
라다,56,146
파차,41,199
나마,69,149
나라,66,198
차카,83,181
차가,86,166
파아,65,151
차자,88,162
파차,89,186
마라,76,167
마사,58,197
카하,88,163
하마,79,145
나자,87,196
자마,57,165
타하,89,180
자나,66,157
타하,48,169
카타,92,151
바라,82,146
다파,45,182
나사,51,198
하가,74,187
마자,82,191
자하,69,192
가타,53,183
자하,43,141
나타,67,181
가다,76,166
바카,69,175
가자,77,152
사자,98,175
라마,43,170
나아,55,148
가다,86,194
다사,47,176
파사,59,157
가마,56,186
타다,67,145
나바,98,165
하라,99,178
아타,41,156
사자,40,172
사마,43,178
다사,49,175
라마,64,142
바마,65,195
라카,59,167
다다,70,176
마카,73,165
마라,68,158
타하,60,150
카타,83,186
타다,64,160
나나,85,149
사차,96,182
아마,49,197
아카,52,156
차마,63,171
카차,82,194
다바,83,150
타하,42,171
라가,63,194
마차,81,164
자사,90,177
카사,80,144
파하,91,180
가타,86,145
아바,51,183
타바,74,177
바타,81,181
아다,62,155
바카,62,149
아마,55,146
타자,61,145
가다,49,142
파바,83,143
타파,46,177
다사,59,199
차하,71,142
차사,77,196
나하,91,149
하라,63,181
라타,95,163
바카,46,148
마차,68,150
자카,78,144
가라,51,180
파카,66,168
차파,88,162
바라,43,187
차파,83,159
라라,45,189
파카,81,167
사파,95,149
파가,52,188
아타,52,189
하마,50,184
자타,54,152
카나,83,195
나파,78,167
카자,47,180
차파,96,176
하바,42,159
가타,47,182
라라,77,152
아사,66,153
아하,90,161
아바,73,153
자카,72,152
하바,59,164
나차,86,168
가타,48,154
타타,99,178
하바,42,181
차차,62,155
타사,59,170
라사,64,163
하아,51,169
다바,69,198
나카,60,153
나다,51,172
가다,87,180
자바,44,195
가파,98,169
카마,94,162
나사,71,186
차카,94,149
차마,81,186
라가,77,144
가바,43,186
가타,43,154
하아,66,165
라가,59,185
라라,87,140
자차,99,156
다나,70,161
나라,66,196
나다,89,152
다파,79,188
카라,47,185
사차,54,160
타파,48,182
차사,65,180
아카,79,194
마차,49,145
사카,95,163
하타,67,143
타타,90,192
라아,42,170
다파,80,157
가하,70,149
다아,93,156
카라,44,171
마자,48,180
자가,51,163
파다,59,151
라마,61,157
나라,98,194
라라,75,168
자바,64,168
자바,72,169
차마,45,150
마가,87,198
하마,59,144
자가,62,169
바마,48,158
바카,59,196
하마,50,193
나아,51,191
라바,56,178
가자,53,153
나타,54,197
차나,77,182
마자,66,142
라나,47,176
마카,50,180
나자,61,144
사사,87,141
타아,96,159
마나,96,145
카차,56,165
파가,84,152
타다,81,173
나아,58,187
카차,61,196
사파,81,183
나차,92,170
가마,71,173
마자,47,185
라사,98,185
차라,75,157
타마,85,188
라파,52,185
자자,40,158
자파,84,155
파나,52,152
자마,99,184
나다,79,157
자바,54,146
자마,61,145
다아,69,192
라파,95,170
자다,64,170
아바,85,189
다사,88,192
아라,82,173
다다,42,182
마하,95,180
카하,90,197
아라,76,173
파카,61,170
다바,89,145
나가,83,177
바사,88,195
가하,65,168
나마,74,159
나나,79,167
타다,43,147
다파,83,141
다카,51,159
카가,81,158
하자,76,192
가마,85,161
바마,87,142
자바,52,173
하하,70,171
바타,58,174
나카,82,158
나라,93,175
사차,66,182
라사,57,180
차아,60,180
나자,63,140
바타,93,185
사카,75,150
라라,45,175
아타,98,158
하차,93,140
타아,88,185
라카,97,183
사다,86,195
마카,48,180
마다,40,186
바라,48,191
타다,65,193
다카,46,156
나나,71,179
라바,99,162
다마,72,153
아차,79,195
나마,55,148
라차,97,177
카라,42,179
다타,83,189
차나,45,155
차바,65,187
라사,80,148
하자,97,151
사하,80,186
아라,86,147
아바,49,191
차자,56,159
사라,94,169
차자,71,199
카하,92,185
자아,62,155
나라,62,194
파타,94,141
차다,98,159
나차,52,171
타자,47,157
다파,73,154
카파,58,194
다다,86,178
파마,82,195
마하,60,172
마하,89,185
아타,46,179
아파,54,179
라차,84,169
라바,86,147
차라,69,161
카다,94,193
파가,40,159
파차,73,159
타바,93,195
하타,92,160
다라,88,148
타바,55,162
하라,97,190
타아,52,164
차나,99,160
아바,99,199
아파,89,163
나카,87,185
아다,42,156
바타,94,156
하파,89,165
자사,86,141
아파,84,171
차카,40,169
다사,94,186
라차,48,192
자다,94,182
라라,68,149
카아,62,189
타사,56,147
다가,88,178
다라,80,164
바마,85,160
다타,64,175
나나,45,156
차하,91,155
하카,53,169
라사,61,193
카자,40,146
마사,98,174
다사,88,151
다아,58,185
아하,42,157
다타,51,189
하차,79,183
마다,91,169
나가,82,161
자아,91,163
파하,83,183
사파,63,168
파타,81,152
차라,46,173
마하,57,152
다아,41,179
라하,58,183
마파,85,156
자사,63,162
라하,75,169
자타,45,196
타라,88,165
가파,47,189
차파,79,197
파파,54,159
카아,94,181
사아,84,169
가자,78,173
바파,89,180
카다,68,150
차파,88,144
아차,84,153
타가,63,184
마카,55,190
파라,68,158
다차,96,188
카나,89,174
타사,41,152
마바,66,170
차다,43,144
타타,47,191
가타,78,170
라타,75,183
마하,92,141
다라,67,176
라마,54,168
사파,94,146
차파,83,154
가자,62,174
마마,94,149
가차,53,178
아다,68,140
카마,69,164
파파,48,171
바나,81,183
바가,51,188
파타,73,167
다카,42,162
자차,76,168
바타,68,163
아카,95,143
바타,63,195
바파,96,157
마사,55,160
하하,66,146
라카,59,174
마사,85,179
차마,55,188
나하,71,160
나카,56,171
아마,51,172
마하,59,149
카다,42,174
바차,55,188
카아,72,187
카차,73,141
마파,84,147
다나,89,144
자사,58,181
차다,40,198
다차,99,149
바사,96,187
마하,84,140
마라,81,185
타가,89,153
타라,42,186
카차,54,163
라카,56,184
타가,95,195
라하,67,182
마하,41,177
아사,80,141
파하,53,190
파차,73,155
자카,99,194
아바,60,154
나나,55,179
사마,91,157
차카,96,155
사타,66,184
타자,97,181
타파,46,197
나나,58,187
차자,94,155
다하,73,190
